year,month,day,sample,grouse_depth,grouse_swe,grouse_density,dog_depth,dog_swe,dog_density,orchid_depth,orchid_swe,orchid_density,disappointment_depth,disappointment_swe,disappointment_density,palisade_depth,palisade_swe,palisade_density,snowline,enso_phase,enso_oni,enso_oni_main,pdo_phase,pdo_anomaly,pdo_phase_main,sca_%,date,DOY
1964,2,1,2,373,1222,32.76,,,,,,,,,,,,,,positive,0.62,positive,negative,0.21,negative,,2/1/1964,32
1964,3,1,3,394,1608,40.81,,,,,,,,,,427,1504,35.22,,neutral,0.12,positive,negative,-0.71,negative,,3/1/1964,60
1964,4,1,4,488,2121,43.46,475,2093,44.06,,,,,,,556,2365,42.54,,neutral,-0.33,positive,negative,-1.27,negative,,4/1/1964,91
1964,5,1,5,462,2123,45.95,,,,,,,,,,513,2413,47.04,,negative,-0.58,positive,negative,-2.39,negative,,5/1/1964,121
1964,5,15,6,,,,,,,,,,,,,,,,,negative,-0.58,positive,negative,-1.76,negative,,5/15/1964,135
1964,6,1,7,,,,,,,,,,,,,,,,,negative,-0.6,positive,negative,-0.86,negative,,6/1/1964,152
1964,6,15,8,,,,,,,,,,,,,,,,,negative,-0.6,positive,negative,-1.08,negative,,6/15/1964,166
1965,1,1,1,,,,,,,,,,,,,,,,,negative,-0.59,neutral,negative,-0.95,negative,,1/1/1965,1
1965,2,1,2,213,892,41.88,,,,,,,,,,,,,,neutral,-0.28,neutral,negative,-0.61,negative,,2/1/1965,32
1965,3,1,3,343,1184,34.52,,,,,,,,,,333,1313,39.43,,neutral,-0.07,neutral,negative,-0.17,negative,,3/1/1965,60
1965,4,1,4,274,1222,44.6,284,1283,45.18,,,,,,,366,1336,36.5,,neutral,0.18,neutral,negative,-0.01,negative,,4/1/1965,91
1965,5,1,5,240,1346,56.08,,,,,,,,,,272,1341,49.3,,neutral,0.46,neutral,negative,-0.66,negative,,5/1/1965,121
1965,5,15,6,,,,,,,,,,,,,,,,,positive,0.83,neutral,negative,-0.7,negative,,5/15/1965,135
1965,6,1,7,,,,,,,,,,,,,,,,,positive,1.02,neutral,negative,-0.76,negative,,6/1/1965,152
1965,6,15,8,,,,,,,,,,,,,,,,,positive,1.22,neutral,negative,-0.74,negative,,6/15/1965,166
1966,1,1,1,,,,,,,,,,,,,,,,,positive,1.37,positive,negative,-0.67,negative,,1/1/1966,1
1966,2,1,2,277,1120,40.43,,,,,,,,,,,,,,positive,1.17,positive,negative,-0.43,negative,,2/1/1966,32
1966,3,1,3,338,1392,41.18,,,,,,,,,,345,1481,42.93,,positive,0.98,positive,negative,-1,negative,,3/1/1966,60
1966,4,1,4,378,1687,44.63,363,1659,45.7,,,,,,,450,2197,48.82,,positive,0.66,positive,negative,-0.37,negative,,4/1/1966,91
1966,5,1,5,323,1613,49.94,,,,,,,,,,384,1958,50.99,,neutral,0.35,positive,negative,-0.76,negative,,5/1/1966,121
1966,5,15,6,,,,,,,,,,,,,,,,,neutral,0.24,positive,negative,-0.41,negative,,5/15/1966,135
1966,6,1,7,,,,,,,,,,,,,,,,,neutral,0.24,positive,positive,0.1,negative,,6/1/1966,152
1966,6,15,8,,,,,,,,,,,,,,,,,neutral,0.24,positive,positive,0.01,negative,,6/15/1966,166
1967,1,1,1,,,,,,,,,,,,,,,,,neutral,-0.41,neutral,negative,-0.24,negative,,1/1/1967,1
1967,2,1,2,295,1222,41.42,,,,,,,,,,,,,,neutral,-0.48,neutral,negative,-0.25,negative,,2/1/1967,32
1967,3,1,3,371,1488,40.11,,,,,,,,,,404,1811,44.83,,neutral,-0.53,neutral,negative,-0.8,negative,,3/1/1967,60
1967,4,1,4,447,1877,41.99,424,1643,38.75,,,,,,,498,1745,35.04,,neutral,-0.45,neutral,negative,-1.13,negative,,4/1/1967,91
1967,5,1,5,442,2154,48.73,,,,,,,,,,485,2535,52.27,,neutral,-0.24,neutral,negative,-1.54,negative,,5/1/1967,121
1967,5,15,6,,,,,,,,,,,,,,,,,neutral,0,neutral,negative,-1.36,negative,,5/15/1967,135
1967,6,1,7,,,,,,,,,,,,,,,,,neutral,0,neutral,negative,-1.2,negative,,6/1/1967,152
1967,6,15,8,,,,,,,,,,,,,,,,,neutral,0.05,neutral,negative,-1.21,negative,,6/15/1967,166
1968,1,1,1,,,,,,,,,,,,,,,,,negative,-0.64,negative,negative,-0.65,negative,,1/1/1968,1
1968,2,1,2,241,965,40.04,,,,,,,,,,,,,,negative,-0.74,negative,negative,-0.19,negative,,2/1/1968,32
1968,3,1,3,218,1168,53.58,,,,,,,,,,320,1547,48.34,,negative,-0.62,negative,positive,0.08,negative,,3/1/1968,60
1968,4,1,4,307,1176,38.31,302,1145,37.91,,,,,,,427,1857,43.49,,neutral,-0.44,negative,negative,-0.69,negative,,4/1/1968,91
1968,5,1,5,328,1430,43.6,,,,,,,,,,404,2197,54.38,,neutral,-0.04,negative,negative,-0.79,negative,,5/1/1968,121
1968,5,15,6,,,,,,,,,,,,,,,,,neutral,0.28,negative,negative,-0.21,negative,,5/15/1968,135
1968,6,1,7,,,,,,,,,,,,,,,,,neutral,0.36,negative,positive,0.14,negative,,6/1/1968,152
1968,6,15,8,,,,,,,,,,,,,,,,,neutral,0.58,negative,positive,0.44,negative,,6/15/1968,166
1969,1,1,1,,,,,,,,,,,,,,,,,positive,1.13,positive,negative,-0.71,negative,,1/1/1969,1
1969,2,1,2,300,1003,33.43,,,,,,,,,,,,,,positive,1.09,positive,negative,-1.22,negative,,2/1/1969,32
1969,3,1,3,345,1379,39.97,,,,,,,,,,,,,,positive,0.95,positive,negative,-1.21,negative,,3/1/1969,60
1969,4,1,4,391,1798,45.98,361,1659,45.96,,,,,,,439,1999,45.54,,positive,0.77,positive,negative,-1.07,negative,,4/1/1969,91
1969,5,1,5,391,2047,52.35,,,,,,,,,,439,2400,54.67,,positive,0.61,positive,negative,-1.06,negative,,5/1/1969,121
1969,5,15,6,,,,,,,,,,,,,,,,,neutral,0.43,positive,negative,-0.32,negative,,5/15/1969,135
1969,6,1,7,,,,,,,,,,,,,,,,,neutral,0.4,positive,positive,0.84,negative,,6/1/1969,152
1969,6,15,8,,,,,,,,,,,,,,,,,neutral,0.36,positive,negative,-0.37,negative,,6/15/1969,166
1970,1,1,1,,,,,,,,,,,,,,,,,neutral,0.51,neutral,positive,1.06,negative,,1/1/1970,1
1970,2,1,2,152,622,40.92,,,,,,,,,,,,,,neutral,0.34,neutral,positive,1.01,negative,,2/1/1970,32
1970,3,1,3,170,808,47.53,,,,,,,,,,160,777,48.56,,neutral,0.29,neutral,positive,1.2,negative,,3/1/1970,60
1970,4,1,4,165,813,49.27,163,795,48.77,,,,,,,163,836,51.29,,neutral,0.19,neutral,positive,0.31,negative,,4/1/1970,91
1970,5,1,5,224,1097,48.97,,,,,,,,,,196,1006,51.33,,neutral,0.04,neutral,negative,-0.89,negative,,5/1/1970,121
1970,5,15,6,,,,,,,,,,,,,,,,,neutral,-0.3,neutral,negative,-0.51,negative,,5/15/1970,135
1970,6,1,7,,,,,,,,,,,,,,,,,neutral,-0.45,neutral,negative,-0.12,negative,,6/1/1970,152
1970,6,15,8,,,,,,,,,,,,,,,,,negative,-0.63,neutral,negative,-0.92,negative,,6/15/1970,166
1971,1,1,1,,,,,,,,,,,,,,,,,negative,-1.36,negative,negative,-1.34,negative,,1/1/1971,1
1971,2,1,2,257,1163,45.25,,,,,,,,,,,,,,negative,-1.38,negative,negative,-1.45,negative,,2/1/1971,32
1971,3,1,3,333,1227,36.85,,,,,,,,,,371,1250,33.69,,negative,-1.12,negative,negative,-1.55,negative,,3/1/1971,60
1971,4,1,4,444,2002,45.09,447,1935,43.29,,,,,,,564,2504,44.4,,negative,-0.85,negative,negative,-1.7,negative,,4/1/1971,91
1971,5,1,5,368,1971,53.56,,,,,,,,,,513,2743,53.47,,negative,-0.73,negative,negative,-1.75,negative,,5/1/1971,121
1971,5,15,6,,,,,,,,,,,,,,,,,negative,-0.74,negative,negative,-1.8,negative,,5/15/1971,135
1971,6,1,7,,,,,,,,,,,,,,,,,negative,-0.78,negative,negative,-1.86,negative,,6/1/1971,152
1971,6,15,8,,,,,,,,,,,,,,,,,negative,-0.8,negative,negative,-2.25,negative,,6/15/1971,166
1972,1,1,1,,,,,,,,,,,,,,,,,negative,-0.71,negative,negative,-2.12,negative,,1/1/1972,1
1972,2,1,2,315,1273,40.41,,,,,,,,,,,,,,neutral,-0.35,negative,negative,-1.95,negative,,2/1/1972,32
1972,3,1,3,386,1532,39.69,,,,579,2315,39.98,,,,381,1638,42.99,,neutral,0.06,negative,negative,-1.53,negative,,3/1/1972,60
1972,4,1,4,343,1737,50.64,340,1603,47.15,523,2743,52.45,,,,348,1702,48.91,,neutral,0.41,negative,negative,-1.7,negative,,4/1/1972,91
1972,5,1,5,363,1941,53.47,,,,599,3051,50.93,,,,389,2014,51.77,,positive,0.67,negative,negative,-2.16,negative,,5/1/1972,121
1972,5,15,6,,,,,,,,,,,,,,,,,positive,0.92,negative,negative,-2.01,negative,,5/15/1972,135
1972,6,1,7,,,,,,,,,,,,,,,,,positive,1.01,negative,negative,-1.84,negative,,6/1/1972,152
1972,6,15,8,,,,,,,,,,,,,,,,,positive,1.13,negative,negative,-1.48,negative,,6/15/1972,166
1973,1,1,1,,,,,,,,,,,,,,,,,positive,1.84,positive,negative,-0.15,negative,,1/1/1973,1
1973,2,1,2,239,899,37.62,,,,,,,,,,,,,,positive,1.25,positive,negative,-0.55,negative,,2/1/1973,32
1973,3,1,3,211,874,41.42,,,,340,1486,43.71,,,,241,1024,42.49,,positive,0.54,positive,negative,-0.88,negative,,3/1/1973,60
1973,4,1,4,267,1270,47.57,259,1090,42.08,411,1826,44.43,,,,287,1389,48.4,,neutral,-0.1,positive,negative,-1.35,negative,,4/1/1973,91
1973,5,1,5,234,1143,48.85,,,,386,1935,50.13,,,,257,1377,53.58,,negative,-0.54,positive,negative,-1.59,negative,,5/1/1973,121
1973,5,15,6,,,,,,,,,,,,,,,,,negative,-0.87,positive,negative,-1.5,negative,,5/15/1973,135
1973,6,1,7,,,,,,,,,,,,,,,,,negative,-0.99,positive,negative,-1.44,negative,,6/1/1973,152
1973,6,15,8,,,,,,,,,,,,,,,,,negative,-1.11,positive,negative,-1.4,negative,,6/15/1973,166
1974,1,1,1,,,,,,,,,,,,,,,,,negative,-1.84,negative,negative,-0.86,negative,,1/1/1974,1
1974,2,1,2,279,1133,40.61,,,,,,,,,,,,,,negative,-1.55,negative,negative,-1.38,negative,,2/1/1974,32
1974,3,1,3,490,2098,42.82,,,,,,,,,,,,,,negative,-1.23,negative,negative,-1.21,negative,,3/1/1974,60
1974,4,1,4,455,2304,50.64,462,2311,50.02,643,3078,47.87,,,,505,2535,50.2,,negative,-1.03,negative,negative,-0.62,negative,,4/1/1974,91
1974,5,1,5,462,2426,52.51,,,,645,3721,57.69,,,,508,2852,56.14,,negative,-0.91,negative,negative,-0.72,negative,,5/1/1974,121
1974,5,15,6,,,,,,,,,,,,,,,,,negative,-0.77,negative,negative,-0.56,negative,,5/15/1974,135
1974,6,1,7,,,,,,,,,,,,,,,,,negative,-0.63,negative,negative,-0.37,negative,,6/1/1974,152
1974,6,15,8,,,,,,,,,,,,,,,,,negative,-0.53,negative,negative,0.02,negative,,6/15/1974,166
1975,1,1,1,,,,,,,,,,,,,,,,,negative,-0.54,negative,negative,-0.65,negative,,1/1/1975,1
1975,2,1,2,231,856,37.06,,,,,,,,,,,,,,negative,-0.57,negative,negative,-0.93,negative,,2/1/1975,32
1975,3,1,3,292,1204,41.23,,,,462,1775,38.42,,,,351,1356,38.63,,negative,-0.65,negative,negative,-1.07,negative,,3/1/1975,60
1975,4,1,4,353,1488,42.15,394,1562,39.64,556,2261,40.67,,,,480,1895,39.48,,negative,-0.73,negative,negative,-1.79,negative,,4/1/1975,91
1975,5,1,5,315,1549,49.17,,,,508,2456,48.35,,,,409,2065,50.49,,negative,-0.83,negative,negative,-2.08,negative,,5/1/1975,121
1975,5,15,6,,,,,,,,,,,,,,,,,negative,-0.98,negative,negative,-1.87,negative,,5/15/1975,135
1975,6,1,7,,,,,,,,,,,,,,,,,negative,-1.05,negative,negative,-1.61,negative,,6/1/1975,152
1975,6,15,8,,,,,,,,,,,,,,,,,negative,-1.13,negative,negative,-0.84,negative,,6/15/1975,166
1976,1,1,1,,,,,,,,,,,,,,,,,negative,-1.56,negative,negative,-1.08,negative,,1/1/1976,1
1976,2,1,2,242,1046,43.22,,,,,,,,,,,,,,negative,-1.17,negative,negative,-1.01,negative,,2/1/1976,32
1976,3,1,3,427,1492,34.94,,,,660,2370,35.91,,,,574,1961,34.16,,negative,-0.73,negative,negative,-1.31,negative,,3/1/1976,60
1976,4,1,4,494,2413,48.85,536,2314,43.17,726,3353,46.18,,,,589,2794,47.44,,neutral,-0.47,negative,negative,-1.38,negative,,4/1/1976,91
1976,5,1,5,451,2393,53.06,,,,451,2393,53.06,,,,518,2819,54.42,,neutral,-0.28,negative,negative,-1.23,negative,,5/1/1976,121
1976,5,15,6,,,,,,,,,,,,,,,,,neutral,-0.05,negative,negative,-1.26,negative,,5/15/1976,135
1976,6,1,7,,,,,,,,,,,,,,,,,neutral,0.05,negative,negative,-1.26,negative,,6/1/1976,152
1976,6,15,8,,,,,,,,,,,,,,,,,neutral,0.18,negative,positive,0.28,positive,,6/15/1976,166
1977,1,1,1,,,,,,,,,,,,,,,,,positive,0.71,positive,positive,1.24,positive,,1/1/1977,1
1977,2,1,2,27,63,23.33,,,,,,,,,,,,,,positive,0.64,positive,positive,1.51,positive,,2/1/1977,32
1977,3,1,3,67,188,28.06,,,,135,444,32.89,,,,38,135,35.53,,neutral,0.34,positive,positive,0.62,positive,,3/1/1977,60
1977,4,1,4,165,625,37.88,173,638,36.88,311,1077,34.63,,,,211,859,40.71,,neutral,0.23,positive,negative,-0.25,positive,,4/1/1977,91
1977,5,1,5,102,544,53.33,,,,239,1161,48.58,,,,157,881,56.11,,neutral,0.21,positive,negative,-0.47,positive,,5/1/1977,121
1977,5,15,6,,,,,,,,,,,,,,,,,neutral,0.34,positive,negative,-0.31,positive,,5/15/1977,135
1977,6,1,7,,,,,,,,,,,,,,,,,neutral,0.35,positive,positive,0.03,positive,,6/1/1977,152
1977,6,15,8,,,,,,,,,,,,,,,,,neutral,0.35,positive,negative,-0.06,positive,,6/15/1977,166
1978,1,1,1,,,,,,,,,,,,,,,,,positive,0.69,positive,positive,0.58,positive,,1/1/1978,1
1978,2,1,2,124,483,38.95,,,,270,1080,40,,,,,,,,neutral,0.42,positive,positive,0.78,positive,,2/1/1978,32
1978,3,1,3,130,530,40.77,,,,300,1385,46.17,,,,150,668,44.53,,neutral,0.06,positive,positive,1.13,positive,,3/1/1978,60
1978,4,1,4,99,428,43.23,104,439,42.21,312,1491,47.79,,,,124,569,45.89,,neutral,-0.18,positive,positive,1.03,positive,,4/1/1978,91
1978,5,1,5,94,430,45.74,,,,287,1573,54.81,,,,102,508,49.8,,neutral,-0.31,positive,positive,0.77,positive,,5/1/1978,121
1978,5,15,6,,,,,,,,,,,,,,,,,neutral,-0.29,positive,positive,0.51,positive,,5/15/1978,135
1978,6,1,7,,,,,,,,,,,,,,,,,neutral,-0.32,positive,positive,0.33,positive,,6/1/1978,152
1978,6,15,8,,,,,,,69,391,56.67,,,,,,,,neutral,-0.36,positive,negative,-1.31,positive,,6/15/1978,166
1979,1,1,1,,,,,,,,,,,,,,,,,neutral,0.03,neutral,negative,-0.38,positive,,1/1/1979,1
1979,2,1,2,187,661,35.35,,,,216,719,33.29,,,,,,,,neutral,0.07,neutral,negative,-1.29,positive,,2/1/1979,32
1979,3,1,3,299,1172,39.2,,,,430,1524,35.44,,,,360,1494,41.5,,neutral,0.2,neutral,negative,-0.68,positive,,3/1/1979,60
1979,4,1,4,248,1140,45.97,236,1167,49.45,308,1479,48.02,,,,269,1416,52.64,,neutral,0.28,neutral,negative,-0.12,positive,,4/1/1979,91
1979,5,1,5,233,1274,54.68,,,,348,1757,50.49,,,,270,1411,52.26,,neutral,0.23,neutral,positive,0.57,positive,,5/1/1979,121
1979,5,15,6,,,,,,,289,1545,53.46,,,,,,,,neutral,0.05,neutral,positive,0.41,positive,,5/15/1979,135
1979,6,1,7,,,,,,,218,1215,55.73,,,,,,,,neutral,0.04,neutral,positive,0.22,positive,,6/1/1979,152
1979,6,15,8,,,,,,,119,709,59.58,,,,,,,,neutral,0.04,neutral,positive,0.3,positive,,6/15/1979,166
1980,1,1,1,,,,,,,204,597,29.26,,,,,,,,positive,0.59,neutral,positive,0.06,positive,,1/1/1980,1
1980,2,1,2,114,416,36.49,,,,244,916,37.54,,,,,,,,neutral,0.46,neutral,positive,0.58,positive,,2/1/1980,32
1980,3,1,3,94,428,45.53,,,,242,1095,45.25,,,,116,575,49.57,,neutral,0.34,neutral,positive,0.62,positive,,3/1/1980,60
1980,4,1,4,218,856,39.27,210,810,,384,1530,39.84,,,,272,1088,40,,neutral,0.38,neutral,positive,0.78,positive,,4/1/1980,91
1980,5,1,5,127,610,48.03,,,,299,1521,50.87,,,,165,887,53.76,,neutral,0.48,neutral,positive,0.64,positive,,5/1/1980,121
1980,5,15,6,,,,,,,,,,,,,,,,,neutral,0.46,neutral,positive,0.22,positive,,5/15/1980,135
1980,6,1,7,,,,,,,194,1034,53.3,,,,,,,,neutral,0.33,neutral,negative,-0.72,positive,,6/1/1980,152
1980,6,15,8,,,,,,,128,724,56.56,,,,,,,,neutral,0.25,neutral,negative,-0.21,positive,,6/15/1980,166
1981,1,1,1,,,,,,,90,410,45.56,,,,,,,,neutral,-0.26,neutral,positive,1.18,positive,,1/1/1981,1
1981,2,1,2,20,50,25,,,,98,408,41.63,,,,,,,,neutral,-0.5,neutral,positive,1.24,positive,,2/1/1981,32
1981,3,1,3,30,104,34.67,,,,162,618,38.15,,,,25,95,38,,neutral,-0.47,neutral,positive,1.22,positive,,3/1/1981,60
1981,4,1,4,10,41,41,11,51,46.36,267,980,36.7,,,,84,285,33.93,,neutral,-0.37,neutral,positive,1.07,positive,,4/1/1981,91
1981,5,1,5,76,371,48.82,,,,260,1200,46.15,,,,97,475,48.97,,neutral,-0.26,neutral,positive,1.29,positive,,5/1/1981,121
1981,5,15,6,,,,,,,243,1230,50.62,,,,,,,,neutral,-0.29,neutral,positive,1.43,positive,,5/15/1981,135
1981,6,1,7,,,,,,,183,887,48.47,,,,,,,,neutral,-0.3,neutral,positive,1.82,positive,,6/1/1981,152
1981,6,15,8,,,,,,,103,520,50.49,,,,,,,,neutral,-0.3,neutral,positive,0.82,positive,,6/15/1981,166
1982,1,1,1,,,,,,,204,655,32.11,,,,,,,,neutral,-0.05,neutral,positive,0.11,positive,,1/1/1982,1
1982,2,1,2,273,899,32.93,,,,402,1435,35.7,,,,,,,,neutral,0.07,neutral,negative,-0.19,positive,,2/1/1982,32
1982,3,1,3,346,1505,43.5,,,,497,2060,41.45,,,,413,1800,43.58,,neutral,0.19,neutral,negative,-0.37,positive,,3/1/1982,60
1982,4,1,4,337,1536,45.58,358,1720,48.04,465,2155,46.34,,,,383,1880,49.09,,neutral,0.47,neutral,negative,-0.7,positive,,4/1/1982,91
1982,5,1,5,371,1819,49.03,,,,479,2280,47.6,,,,459,2280,49.67,,positive,0.66,neutral,negative,-1.21,positive,,5/1/1982,121
1982,5,15,6,,,,,,,432,2310,53.47,,,,,,,,positive,0.72,neutral,negative,-1.01,positive,,5/15/1982,135
1982,6,1,7,,,,,,,358,1933,53.99,,,,,,,,positive,0.75,neutral,negative,-0.99,positive,,6/1/1982,152
1982,6,15,8,,,,,,,285,1709,59.96,,,,,,,,positive,0.79,neutral,positive,0.12,positive,,6/15/1982,166
1983,1,1,1,,,,,,,289,1040,35.99,,,,,,,,positive,2.18,positive,positive,0.4,positive,,1/1/1983,1
1983,2,1,2,140,620,44.29,,,,312,1359,43.56,,,,,,,,positive,1.92,positive,positive,0.97,positive,,2/1/1983,32
1983,3,1,3,207,1014,48.99,,,,477,1982,41.55,,,,,,,,positive,1.54,positive,positive,1.73,positive,,3/1/1983,60
1983,4,1,4,223,1081,48.48,244,1197,49.06,448,2238,49.96,,,,298,1592,53.42,,positive,1.29,positive,positive,1.26,positive,,4/1/1983,91
1983,5,1,5,216,1112,51.48,,,,423,2175,51.42,,,,309,1680,54.37,,positive,1.06,positive,positive,1.01,positive,,5/1/1983,121
1983,5,15,6,,,,,,,416,2200,52.88,,,,,,,,positive,0.72,positive,positive,1.42,positive,,5/15/1983,135
1983,6,1,7,,,,,,,254,1444,56.85,,,,,,,,positive,0.59,positive,positive,1.9,positive,,6/1/1983,152
1983,6,15,8,,,,,,,237,1356,57.22,,,,,,,,neutral,0.4,positive,positive,2.47,positive,,6/15/1983,166
1984,1,1,1,115,368,32,,,,196,651,33.21,,,,,,,,negative,-0.6,neutral,positive,1.42,positive,,1/1/1984,1
1984,2,1,2,126,547,43.41,,,,233,941,40.39,,,,,,,,neutral,-0.42,neutral,positive,1.23,positive,,2/1/1984,32
1984,3,1,3,198,750,37.88,,,,391,1535,39.26,,,,226,968,42.83,,neutral,-0.34,neutral,positive,1.56,positive,,3/1/1984,60
1984,4,1,4,230,1017,44.22,252,1081,42.9,388,1768,45.57,,,,246,1083,44.02,,neutral,-0.43,neutral,positive,1,positive,,4/1/1984,91
1984,5,1,5,250,1202,48.08,,,,439,2200,50.11,,,,283,1415,50,,neutral,-0.51,neutral,positive,0.87,positive,,5/1/1984,121
1984,5,15,6,,,,,,,423,2144,50.69,,,,,,,,neutral,-0.45,neutral,positive,0.23,positive,,5/15/1984,135
1984,6,1,7,,,,,,,416,2190,52.64,,,,,,,,neutral,-0.3,neutral,negative,-0.13,positive,,6/1/1984,152
1984,6,15,8,,,,,,,312,1700,54.49,,,,,,,,neutral,-0.3,neutral,negative,-0.35,positive,,6/15/1984,166
1985,1,1,1,223,801,35.92,,,,339,1214,35.81,,,,,,,,negative,-1.04,negative,positive,0.87,positive,,1/1/1985,1
1985,2,1,2,183,824,45.03,206,890,43.2,288,1249,43.37,,,,,,,,negative,-0.85,negative,positive,0.48,positive,,2/1/1985,32
1985,3,1,3,249,1078,43.29,266,1087,40.86,376,1620,43.09,,,,305,1233,40.43,,negative,-0.77,negative,negative,-0.34,positive,,3/1/1985,60
1985,4,1,4,302,1233,40.83,320,1269,39.66,456,1859,40.77,,,,386,1556,40.31,,negative,-0.78,negative,negative,-0.52,positive,,4/1/1985,91
1985,5,1,5,279,1288,46.16,323,1458,45.14,434,2033,46.84,,,,342,1595,46.64,,negative,-0.78,negative,negative,-0.87,positive,,5/1/1985,121
1985,5,15,6,,,,284,1507,53.06,384,2069,53.88,,,,,,,,negative,-0.63,negative,negative,-0.31,positive,,5/15/1985,135
1985,6,1,7,,,,200,1115,55.75,305,1635,53.61,,,,,,,,negative,-0.55,negative,positive,0.04,positive,,6/1/1985,152
1985,6,15,8,,,,129,730,56.59,196,1121,57.19,,,,,,,,negative,-0.5,negative,positive,0.52,positive,,6/15/1985,166
1986,1,1,1,54,190,35.19,119,328,27.56,197,565,28.68,,,,,,,,neutral,-0.49,neutral,positive,1.04,positive,,1/1/1986,1
1986,2,1,2,104,458,44.04,118,506,42.88,261,1070,41,,,,,,,,neutral,-0.47,neutral,positive,1.47,positive,,2/1/1986,32
1986,3,1,3,120,500,41.67,145,612,42.21,270,1113,41.22,,,,162,650,40.12,,neutral,-0.31,neutral,positive,1.68,positive,,3/1/1986,60
1986,4,1,4,115,540,46.96,154,706,45.84,303,1390,45.87,,,,144,679,47.15,,neutral,-0.2,neutral,positive,1.21,positive,,4/1/1986,91
1986,5,1,5,161,630,39.13,183,822,44.92,372,1546,41.56,,,,190,754,39.68,,neutral,-0.12,neutral,positive,0.85,positive,,5/1/1986,121
1986,5,15,6,,,,161,764,47.45,325,1592,48.98,,,,,,,,neutral,-0.04,neutral,positive,0.71,positive,,5/15/1986,135
1986,6,1,7,,,,82,410,50,237,1277,53.88,,,,,,,,neutral,0.12,neutral,positive,0.62,positive,,6/1/1986,152
1986,6,15,8,,,,0,0,,129,672,52.09,,,,,,,,neutral,0.22,neutral,positive,1.05,positive,,6/15/1986,166
1987,1,1,1,110,473,43,190,710,37.37,245,885,36.12,,,,,,,,positive,1.23,positive,positive,1.47,positive,,1/1/1987,1
1987,2,1,2,197,790,40.1,222,855,,423,1620,38.3,,,,,,,,positive,1.19,positive,positive,1.46,positive,,2/1/1987,32
1987,3,1,3,183,789,43.11,220,992,45.09,388,1783,45.95,,,,282,1417,50.25,,positive,1.06,positive,positive,1.35,positive,,3/1/1987,60
1987,4,1,4,179,877,48.99,222,1044,47.03,404,1986,49.16,,,,270,1393,51.59,,positive,0.95,positive,positive,1.38,positive,,4/1/1987,91
1987,5,1,5,132,701,53.11,167,852,51.02,371,1965,52.96,,,,187,1041,55.67,,positive,0.97,positive,positive,0.82,positive,,5/1/1987,121
1987,5,15,6,,,,109,588,53.94,318,1733,54.5,,,,,,,,positive,1.22,positive,positive,0.21,positive,,5/15/1987,135
1987,6,1,7,,,,72,378,52.5,241,1391,57.72,,,,,,,,positive,1.38,positive,positive,0.05,positive,,6/1/1987,152
1987,6,15,8,,,,0,0,,,,,,,,,,,,positive,1.43,positive,positive,1.38,positive,,6/15/1987,166
1988,1,1,1,109,355,32.57,121,416,34.38,222,781,35.18,,,,,,,,positive,0.81,positive,positive,0.23,positive,,1/1/1988,1
1988,2,1,2,140,550,39.29,168,662,39.4,291,1115,38.32,,,,,,,,positive,0.54,positive,positive,0.47,positive,,2/1/1988,32
1988,3,1,3,187,819,43.8,224,889,39.69,391,1518,38.82,,,,,,,,neutral,0.14,positive,positive,0.49,positive,,3/1/1988,60
1988,4,1,4,298,1090,36.58,336,1290,38.39,470,1928,41.02,,,,378,1490,39.42,,neutral,-0.31,positive,positive,0.34,positive,,4/1/1988,91
1988,5,1,5,236,1180,50,310,1397,45.06,416,2113,50.79,,,,312,1644,52.69,,negative,-0.88,positive,positive,0.37,positive,,5/1/1988,121
1988,5,15,6,,,,226,1237,54.73,365,1931,52.9,,,,,,,,negative,-1.2,positive,positive,0.3,positive,,5/15/1988,135
1988,6,1,7,,,,176,959,54.49,329,1812,55.08,,,,,,,,negative,-1.3,positive,positive,0.21,positive,,6/1/1988,152
1988,6,15,8,,,,112,622,55.54,265,1454,54.87,,,,,,,,negative,-1.3,positive,negative,-0.15,positive,,6/15/1988,166
1989,1,1,1,149,474,31.81,176,565,32.1,236,762,32.29,,,,,,,,negative,-1.69,negative,negative,-1.24,positive,,1/1/1989,1
1989,2,1,2,231,956,41.39,253,969,38.3,316,1200,37.97,,,,,,,,negative,-1.43,negative,negative,-1.45,positive,,2/1/1989,32
1989,3,1,3,256,995,38.87,277,1137,41.05,358,1414,39.5,,,,266,1112,41.8,,negative,-1.08,negative,negative,-1.24,positive,,3/1/1989,60
1989,4,1,4,334,1346,40.3,340,1420,41.76,436,1798,41.24,,,,337,1423,42.23,,negative,-0.83,negative,negative,-0.32,positive,,4/1/1989,91
1989,5,1,5,242,1201,49.63,300,1390,46.33,381,1914,50.24,,,,304,1454,47.83,,negative,-0.58,negative,negative,-0.09,positive,,5/1/1989,121
1989,5,15,6,,,,239,1212,50.71,309,1645,53.24,,,,,,,,neutral,-0.5,negative,positive,0.03,positive,,5/15/1989,135
1989,6,1,7,,,,201,1009,50.2,278,1452,52.23,,,,,,,,neutral,-0.38,negative,positive,0.11,positive,,6/1/1989,152
1989,6,15,8,,,,98,541,55.2,172,974,56.63,,,,,,,,neutral,-0.31,negative,positive,0.56,positive,,6/15/1989,166
1990,1,1,1,13,24,18.46,28,96,34.29,76,202,26.58,,,,,,,,neutral,0.14,neutral,negative,-0.42,positive,,1/1/1990,1
